MODEL,SCENARIO,ISO3,VARIABLE,UNIT,Definition,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
MANDATORY,,,Expenditure Share|Food|Dx,%,"Share of CP01 ""Food"" in total expenditures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Expenditure Share|Energy|Housing|Dx,%,"Share of  CP045 ""Electricity, gas and other fuels"" in total expenditures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Expenditure Share|Energy|Transportation|Dx,%,"Share of  CP07 ""Transport"" in total expenditures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Expenditure Share|Other|Dx,%,All other goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Income Share|Labour|Dx,%,% of total HH income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Income Share|Capital|Dx,%,% of total HH income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Income Share|Transfers|Dx,%,% of total HH income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL,,,Income Share|Other|Dx,%,% of total HH income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Savings Rate|Dx,%,% of total HH income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL,,,Education|Under 15|Dx,%,% of household heads in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Education|No Education|Dx,%,% of household heads in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Education|Primary Education|Dx,%,% of household heads in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Education|Secondary Education|Dx,%,% of household heads in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Education|Tertiary Education|Dx,%,% of household heads in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Expenditure Decile|Dx,,% of total expenditures in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Income Decile|Dx,,% of total Income in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL,,,Wealth Share|Dx,%,% of total national wealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL,,,Inequality Index|Gini,index,Gini of net income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL,,,Inequality Index|Absolute Poverty,%,share of population below 1.9$/day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL,,,Household Size|Dx,number,average household size per decile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL,,,Equivalence Household Size|Dx,number,average equivalent household size (OECD scale) 1 plus 0.5 per adult (older than 14 years) and 0.3 per child (14 or less years),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL,,,Emissions per capita|Dx,tCO2,CO2 Emissions per capita in each Decile (tCO2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
