MODEL;SCENARIO;REGION;VARIABLE;UNIT;2010
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|D1;% of total HH expenditures;28.08740695
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|D2;% of total HH expenditures;25.87388589
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|D3;% of total HH expenditures;22.82059896
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|D4;% of total HH expenditures;21.40185174
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|D5;% of total HH expenditures;19.26201454
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|D6;% of total HH expenditures;17.66069679
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|D7;% of total HH expenditures;15.30402105
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|D8;% of total HH expenditures;13.98893622
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|D9;% of total HH expenditures;11.28887363
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|D10;% of total HH expenditures;7.166066096
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|non-Meat|D1;% of total HH expenditures;25.62807805
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|non-Meat|D2;% of total HH expenditures;23.39584377
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|non-Meat|D3;% of total HH expenditures;20.60921219
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|non-Meat|D4;% of total HH expenditures;19.16985066
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|non-Meat|D5;% of total HH expenditures;17.20339166
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|non-Meat|D6;% of total HH expenditures;15.78199801
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|non-Meat|D7;% of total HH expenditures;13.65352656
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|non-Meat|D8;% of total HH expenditures;12.42783644
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|non-Meat|D9;% of total HH expenditures;10.06803726
Reference;Brazil Household survey 2008 [name];BRA;Expenditure Share|Food|non-Meat|D10;% of total HH expenditures;6.514145091
