MODEL;SCENARIO;REGION;VARIABLE;UNIT;2010
Reference;HBS 2010;BEL;Education|Not specified|D1;%;1.309328969
Reference;HBS 2010;BEL;Education|Not specified|D10;%;2.165087957
Reference;HBS 2010;BEL;Education|Not specified|D2;%;1.687116564
Reference;HBS 2010;BEL;Education|Not specified|D3;%;3.202328967
Reference;HBS 2010;BEL;Education|Not specified|D4;%;1.253481894
Reference;HBS 2010;BEL;Education|Not specified|D5;%;1.889338731
Reference;HBS 2010;BEL;Education|Not specified|D6;%;2.38410596
Reference;HBS 2010;BEL;Education|Not specified|D7;%;1.97109067
Reference;HBS 2010;BEL;Education|Not specified|D8;%;1.749663526
Reference;HBS 2010;BEL;Education|Not specified|D9;%;1.070950469
Reference;HBS 2010;BEL;Education|Primary Education|D1;%;19.47626841
Reference;HBS 2010;BEL;Education|Primary Education|D10;%;0.947225981
Reference;HBS 2010;BEL;Education|Primary Education|D2;%;16.56441718
Reference;HBS 2010;BEL;Education|Primary Education|D3;%;11.79039301
Reference;HBS 2010;BEL;Education|Primary Education|D4;%;7.799442897
Reference;HBS 2010;BEL;Education|Primary Education|D5;%;5.263157895
Reference;HBS 2010;BEL;Education|Primary Education|D6;%;3.311258278
Reference;HBS 2010;BEL;Education|Primary Education|D7;%;1.314060447
Reference;HBS 2010;BEL;Education|Primary Education|D8;%;1.076716016
Reference;HBS 2010;BEL;Education|Primary Education|D9;%;1.338688086
Reference;HBS 2010;BEL;Education|Secondary Education|D1;%;70.37643208
Reference;HBS 2010;BEL;Education|Secondary Education|D10;%;51.42083897
Reference;HBS 2010;BEL;Education|Secondary Education|D2;%;76.22699387
Reference;HBS 2010;BEL;Education|Secondary Education|D3;%;75.69141194
Reference;HBS 2010;BEL;Education|Secondary Education|D4;%;80.64066852
Reference;HBS 2010;BEL;Education|Secondary Education|D5;%;80.83670715
Reference;HBS 2010;BEL;Education|Secondary Education|D6;%;77.74834437
Reference;HBS 2010;BEL;Education|Secondary Education|D7;%;73.98160315
Reference;HBS 2010;BEL;Education|Secondary Education|D8;%;70.12113055
Reference;HBS 2010;BEL;Education|Secondary Education|D9;%;61.17804552
Reference;HBS 2010;BEL;Education|Tertiary Education|D1;%;8.83797054
Reference;HBS 2010;BEL;Education|Tertiary Education|D10;%;45.46684709
Reference;HBS 2010;BEL;Education|Tertiary Education|D2;%;5.521472393
Reference;HBS 2010;BEL;Education|Tertiary Education|D3;%;9.315866084
Reference;HBS 2010;BEL;Education|Tertiary Education|D4;%;10.30640669
Reference;HBS 2010;BEL;Education|Tertiary Education|D5;%;12.01079622
Reference;HBS 2010;BEL;Education|Tertiary Education|D6;%;16.55629139
Reference;HBS 2010;BEL;Education|Tertiary Education|D7;%;22.73324573
Reference;HBS 2010;BEL;Education|Tertiary Education|D8;%;27.05248991
Reference;HBS 2010;BEL;Education|Tertiary Education|D9;%;36.41231593
Reference;HBS 2010;BEL;Emissions per capita|D1;tCO2;5.459388365
Reference;HBS 2010;BEL;Emissions per capita|D10;tCO2;13.82756127
Reference;HBS 2010;BEL;Emissions per capita|D2;tCO2;6.691775659
Reference;HBS 2010;BEL;Emissions per capita|D3;tCO2;7.371840269
Reference;HBS 2010;BEL;Emissions per capita|D4;tCO2;8.559565289
Reference;HBS 2010;BEL;Emissions per capita|D5;tCO2;8.93829448
Reference;HBS 2010;BEL;Emissions per capita|D6;tCO2;9.652667524
Reference;HBS 2010;BEL;Emissions per capita|D7;tCO2;10.25590164
Reference;HBS 2010;BEL;Emissions per capita|D8;tCO2;10.89177049
Reference;HBS 2010;BEL;Emissions per capita|D9;tCO2;12.02699391
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Reference;HBS 2010;BEL;Expenditure Decile|D1;%;5.897179305
Reference;HBS 2010;BEL;Expenditure Decile|D10;%;14.35498047
Reference;HBS 2010;BEL;Expenditure Decile|D2;%;6.480822988
Reference;HBS 2010;BEL;Expenditure Decile|D3;%;7.483014434
Reference;HBS 2010;BEL;Expenditure Decile|D4;%;8.598419991
Reference;HBS 2010;BEL;Expenditure Decile|D5;%;9.554739667
