MODEL;SCENARIO;REGION;VARIABLE;UNIT;2011
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|D1;% of total HH expenditures;18.87897
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|D2;% of total HH expenditures;19.29497
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|D3;% of total HH expenditures;18.62255
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|D4;% of total HH expenditures;17.84819
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|D5;% of total HH expenditures;17.85163
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|D6;% of total HH expenditures;17.2076
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|D7;% of total HH expenditures;16.28321
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|D8;% of total HH expenditures;15.48244
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|D9;% of total HH expenditures;14.37729
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|D10;% of total HH expenditures;11.35934
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|non-Meat|D1;% of total HH expenditures;14.98162
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|non-Meat|D2;% of total HH expenditures;15.07584
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|non-Meat|D3;% of total HH expenditures;14.48897
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|non-Meat|D4;% of total HH expenditures;14.06322
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|non-Meat|D5;% of total HH expenditures;13.89645
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|non-Meat|D6;% of total HH expenditures;13.30496
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|non-Meat|D7;% of total HH expenditures;12.8484
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|non-Meat|D8;% of total HH expenditures;12.21081
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|non-Meat|D9;% of total HH expenditures;11.32104
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|non-Meat|D10;% of total HH expenditures;9.11404
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|Meat|D1;% of total HH expenditures;3.89735
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|Meat|D2;% of total HH expenditures;4.21913
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|Meat|D3;% of total HH expenditures;4.13358
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|Meat|D4;% of total HH expenditures;3.78497
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|Meat|D5;% of total HH expenditures;3.95518
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|Meat|D6;% of total HH expenditures;3.90264
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|Meat|D7;% of total HH expenditures;3.43481
Reference;France Household survey 2011 [BDF];FRA;Expenditure Share|Food|Meat|D8;% of total HH expenditures;3.27163
