MODEL,SCENARIO,REGION,VARIABLE,UNIT,2018,
Reference,,MEX,Expenditure Share|Food|D1,% of total HH expenditures,48.718,
Reference,,MEX,Expenditure Share|Food|D2,% of total HH expenditures,46.266,
Reference,,MEX,Expenditure Share|Food|D3,% of total HH expenditures,44.82,
Reference,,MEX,Expenditure Share|Food|D4,% of total HH expenditures,43.272,
Reference,,MEX,Expenditure Share|Food|D5,% of total HH expenditures,41.169,
Reference,,MEX,Expenditure Share|Food|D6,% of total HH expenditures,40.074,
Reference,,MEX,Expenditure Share|Food|D7,% of total HH expenditures,37.556,
Reference,,MEX,Expenditure Share|Food|D8,% of total HH expenditures,35.681,
Reference,,MEX,Expenditure Share|Food|D9,% of total HH expenditures,32.234,
Reference,,MEX,Expenditure Share|Food|D10,% of total HH expenditures,24.885,
Reference,,MEX,Expenditure Share|Food|non-Meat|D1,% of total HH expenditures,40.55,
Reference,,MEX,Expenditure Share|Food|non-Meat|D2,% of total HH expenditures,37.603,
Reference,,MEX,Expenditure Share|Food|non-Meat|D3,% of total HH expenditures,36.122,
Reference,,MEX,Expenditure Share|Food|non-Meat|D4,% of total HH expenditures,34.696,
Reference,,MEX,Expenditure Share|Food|non-Meat|D5,% of total HH expenditures,33.012,
Reference,,MEX,Expenditure Share|Food|non-Meat|D6,% of total HH expenditures,32.446,
Reference,,MEX,Expenditure Share|Food|non-Meat|D7,% of total HH expenditures,30.567,
Reference,,MEX,Expenditure Share|Food|non-Meat|D8,% of total HH expenditures,29.53,
Reference,,MEX,Expenditure Share|Food|non-Meat|D9,% of total HH expenditures,27.2,
Reference,,MEX,Expenditure Share|Food|non-Meat|D10,% of total HH expenditures,22.106,
Reference,,MEX,Expenditure Share|Food|Meat|D1,% of total HH expenditures,8.168,
Reference,,MEX,Expenditure Share|Food|Meat|D2,% of total HH expenditures,8.663,
Reference,,MEX,Expenditure Share|Food|Meat|D3,% of total HH expenditures,8.697,
Reference,,MEX,Expenditure Share|Food|Meat|D4,% of total HH expenditures,8.576,
Reference,,MEX,Expenditure Share|Food|Meat|D5,% of total HH expenditures,8.157,
Reference,,MEX,Expenditure Share|Food|Meat|D6,% of total HH expenditures,7.628,
Reference,,MEX,Expenditure Share|Food|Meat|D7,% of total HH expenditures,6.989,
Reference,,MEX,Expenditure Share|Food|Meat|D8,% of total HH expenditures,6.151,
Reference,,MEX,Expenditure Share|Food|Meat|D9,% of total HH expenditures,5.035,
Reference,,MEX,Expenditure Share|Food|Meat|D10,% of total HH expenditures,2.779,
Reference,,MEX,Expenditure Share|Energy|Housing|D1,% of total HH expenditures,5.113,
Reference,,MEX,Expenditure Share|Energy|Housing|D2,% of total HH expenditures,5.659,
Reference,,MEX,Expenditure Share|Energy|Housing|D3,% of total HH expenditures,5.686,
Reference,,MEX,Expenditure Share|Energy|Housing|D4,% of total HH expenditures,5.349,
Reference,,MEX,Expenditure Share|Energy|Housing|D5,% of total HH expenditures,5.337,
Reference,,MEX,Expenditure Share|Energy|Housing|D6,% of total HH expenditures,5.168,
Reference,,MEX,Expenditure Share|Energy|Housing|D7,% of total HH expenditures,4.851,
Reference,,MEX,Expenditure Share|Energy|Housing|D8,% of total HH expenditures,4.513,
Reference,,MEX,Expenditure Share|Energy|Housing|D9,% of total HH expenditures,3.993,
Reference,,MEX,Expenditure Share|Energy|Housing|D10,% of total HH expenditures,2.901,
Reference,,MEX,Expenditure Share|Energy|Transportation|D1,% of total HH expenditures,2.236,
Reference,,MEX,Expenditure Share|Energy|Transportation|D2,% of total HH expenditures,2.779,
Reference,,MEX,Expenditure Share|Energy|Transportation|D3,% of total HH expenditures,3.368,
Reference,,MEX,Expenditure Share|Energy|Transportation|D4,% of total HH expenditures,4.055,
Reference,,MEX,Expenditure Share|Energy|Transportation|D5,% of total HH expenditures,4.621,
Reference,,MEX,Expenditure Share|Energy|Transportation|D6,% of total HH expenditures,5.245,
Reference,,MEX,Expenditure Share|Energy|Transportation|D7,% of total HH expenditures,6.185,
Reference,,MEX,Expenditure Share|Energy|Transportation|D8,% of total HH expenditures,7.141,
Reference,,MEX,Expenditure Share|Energy|Transportation|D9,% of total HH expenditures,8.549,
Reference,,MEX,Expenditure Share|Energy|Transportation|D10,% of total HH expenditures,8.388,
Reference,,MEX,Expenditure Share|Other|D1,% of total HH expenditures,43.933,
Reference,,MEX,Expenditure Share|Other|D2,% of total HH expenditures,45.296,
Reference,,MEX,Expenditure Share|Other|D3,% of total HH expenditures,46.126,
Reference,,MEX,Expenditure Share|Other|D4,% of total HH expenditures,47.324,
Reference,,MEX,Expenditure Share|Other|D5,% of total HH expenditures,48.873,
Reference,,MEX,Expenditure Share|Other|D6,% of total HH expenditures,49.514,
Reference,,MEX,Expenditure Share|Other|D7,% of total HH expenditures,51.409,
Reference,,MEX,Expenditure Share|Other|D8,% of total HH expenditures,52.665,
Reference,,MEX,Expenditure Share|Other|D9,% of total HH expenditures,55.223,
Reference,,MEX,Expenditure Share|Other|D10,% of total HH expenditures,63.827,
Reference,,MEX,Income Share|Labour|D1,% of total HH income,54.793929,
Reference,,MEX,Income Share|Labour|D2,% of total HH income,65.74173,
Reference,,MEX,Income Share|Labour|D3,% of total HH income,71.013329,
Reference,,MEX,Income Share|Labour|D4,% of total HH income,74.132165,
Reference,,MEX,Income Share|Labour|D5,% of total HH income,76.013523,
Reference,,MEX,Income Share|Labour|D6,% of total HH income,76.093861,
Reference,,MEX,Income Share|Labour|D7,% of total HH income,78.408138,
Reference,,MEX,Income Share|Labour|D8,% of total HH income,78.672423,
Reference,,MEX,Income Share|Labour|D9,% of total HH income,77.849795,
Reference,,MEX,Income Share|Labour|D10,% of total HH income,75.222299,
Reference,,MEX,Income Share|Capital|D1,% of total HH income,0.375961,
Reference,,MEX,Income Share|Capital|D2,% of total HH income,0.492926,
Reference,,MEX,Income Share|Capital|D3,% of total HH income,0.496162,
Reference,,MEX,Income Share|Capital|D4,% of total HH income,0.579524,
Reference,,MEX,Income Share|Capital|D5,% of total HH income,0.613495,
Reference,,MEX,Income Share|Capital|D6,% of total HH income,0.752876,
Reference,,MEX,Income Share|Capital|D7,% of total HH income,0.715477,
Reference,,MEX,Income Share|Capital|D8,% of total HH income,0.931529,
Reference,,MEX,Income Share|Capital|D9,% of total HH income,1.223394,
Reference,,MEX,Income Share|Capital|D10,% of total HH income,1.922563,
Reference,,MEX,Income Share|Transfers|D1,% of total HH income,44.566061,
Reference,,MEX,Income Share|Transfers|D2,% of total HH income,33.765344,
Reference,,MEX,Income Share|Transfers|D3,% of total HH income,28.490509,
Reference,,MEX,Income Share|Transfers|D4,% of total HH income,25.288311,
Reference,,MEX,Income Share|Transfers|D5,% of total HH income,23.372982,
Reference,,MEX,Income Share|Transfers|D6,% of total HH income,23.153262,
Reference,,MEX,Income Share|Transfers|D7,% of total HH income,20.876385,
Reference,,MEX,Income Share|Transfers|D8,% of total HH income,20.396048,
Reference,,MEX,Income Share|Transfers|D9,% of total HH income,20.926811,
Reference,,MEX,Income Share|Transfers|D10,% of total HH income,22.855138,
Reference,,MEX,Income Share|Other|D1,% of total HH income,0,
Reference,,MEX,Income Share|Other|D2,% of total HH income,0,
Reference,,MEX,Income Share|Other|D3,% of total HH income,0,
Reference,,MEX,Income Share|Other|D4,% of total HH income,0,
Reference,,MEX,Income Share|Other|D5,% of total HH income,0,
Reference,,MEX,Income Share|Other|D6,% of total HH income,0,
Reference,,MEX,Income Share|Other|D7,% of total HH income,0,
Reference,,MEX,Income Share|Other|D8,% of total HH income,0,
Reference,,MEX,Income Share|Other|D9,% of total HH income,0,
Reference,,MEX,Income Share|Other|D10,% of total HH income,0,
Reference,,MEX,Savings Rate|D1,% of total HH income,-0.2614407,
