MODEL,SCENARIO,REGION,VARIABLE,UNIT,2019
Reference,,RUS,Expenditure Share|Food|D1,% of total HH expenditures,37.885
Reference,,RUS,Expenditure Share|Food|D2,% of total HH expenditures,35.841
Reference,,RUS,Expenditure Share|Food|D3,% of total HH expenditures,38.764
Reference,,RUS,Expenditure Share|Food|D4,% of total HH expenditures,35.898
Reference,,RUS,Expenditure Share|Food|D5,% of total HH expenditures,37.352
Reference,,RUS,Expenditure Share|Food|D6,% of total HH expenditures,33.633
Reference,,RUS,Expenditure Share|Food|D7,% of total HH expenditures,31.467
Reference,,RUS,Expenditure Share|Food|D8,% of total HH expenditures,29.774
Reference,,RUS,Expenditure Share|Food|D9,% of total HH expenditures,24.95
Reference,,RUS,Expenditure Share|Food|D10,% of total HH expenditures,17.679
Reference,,RUS,Expenditure Share|Food|non-Meat|D1,% of total HH expenditures,27.371
Reference,,RUS,Expenditure Share|Food|non-Meat|D2,% of total HH expenditures,26.174
Reference,,RUS,Expenditure Share|Food|non-Meat|D3,% of total HH expenditures,27.127
Reference,,RUS,Expenditure Share|Food|non-Meat|D4,% of total HH expenditures,26.514
Reference,,RUS,Expenditure Share|Food|non-Meat|D5,% of total HH expenditures,27.928
Reference,,RUS,Expenditure Share|Food|non-Meat|D6,% of total HH expenditures,24.319
Reference,,RUS,Expenditure Share|Food|non-Meat|D7,% of total HH expenditures,23.392
Reference,,RUS,Expenditure Share|Food|non-Meat|D8,% of total HH expenditures,22.243
Reference,,RUS,Expenditure Share|Food|non-Meat|D9,% of total HH expenditures,18.484
Reference,,RUS,Expenditure Share|Food|non-Meat|D10,% of total HH expenditures,13.321
Reference,,RUS,Expenditure Share|Food|Meat|D1,% of total HH expenditures,10.514
Reference,,RUS,Expenditure Share|Food|Meat|D2,% of total HH expenditures,9.667
Reference,,RUS,Expenditure Share|Food|Meat|D3,% of total HH expenditures,11.637
Reference,,RUS,Expenditure Share|Food|Meat|D4,% of total HH expenditures,9.384
Reference,,RUS,Expenditure Share|Food|Meat|D5,% of total HH expenditures,9.424
Reference,,RUS,Expenditure Share|Food|Meat|D6,% of total HH expenditures,9.314
Reference,,RUS,Expenditure Share|Food|Meat|D7,% of total HH expenditures,8.075
Reference,,RUS,Expenditure Share|Food|Meat|D8,% of total HH expenditures,7.531
Reference,,RUS,Expenditure Share|Food|Meat|D9,% of total HH expenditures,6.466
Reference,,RUS,Expenditure Share|Food|Meat|D10,% of total HH expenditures,4.358
Reference,,RUS,Expenditure Share|Energy|Housing|D1,% of total HH expenditures,8.1
Reference,,RUS,Expenditure Share|Energy|Housing|D2,% of total HH expenditures,7.05
Reference,,RUS,Expenditure Share|Energy|Housing|D3,% of total HH expenditures,6.5
Reference,,RUS,Expenditure Share|Energy|Housing|D4,% of total HH expenditures,6.1
Reference,,RUS,Expenditure Share|Energy|Housing|D5,% of total HH expenditures,5.65
Reference,,RUS,Expenditure Share|Energy|Housing|D6,% of total HH expenditures,5.1
Reference,,RUS,Expenditure Share|Energy|Housing|D7,% of total HH expenditures,4.2
Reference,,RUS,Expenditure Share|Energy|Housing|D8,% of total HH expenditures,3.8
Reference,,RUS,Expenditure Share|Energy|Housing|D9,% of total HH expenditures,3.4
Reference,,RUS,Expenditure Share|Energy|Housing|D10,% of total HH expenditures,2.55
Reference,,RUS,Expenditure Share|Energy|Transportation|D1,% of total HH expenditures,2.225
Reference,,RUS,Expenditure Share|Energy|Transportation|D2,% of total HH expenditures,2.047
