MODEL;SCENARIO;REGION;VARIABLE;UNIT;2018
Reference;;USA;Expenditure Share|Food|D1;%;24.31388
Reference;;USA;Expenditure Share|Food|D2;%;21.04099
Reference;;USA;Expenditure Share|Food|D3;%;19.7019
Reference;;USA;Expenditure Share|Food|D4;%;18.19085
Reference;;USA;Expenditure Share|Food|D5;%;18.15539
Reference;;USA;Expenditure Share|Food|D6;%;16.79388
Reference;;USA;Expenditure Share|Food|D7;%;17.04614
Reference;;USA;Expenditure Share|Food|D8;%;16.66261
Reference;;USA;Expenditure Share|Food|D9;%;14.95159
Reference;;USA;Expenditure Share|Food|D10;%;11.00666
Reference;;USA;Expenditure Share|Energy|Housing|D1;%;14.35094
Reference;;USA;Expenditure Share|Energy|Housing|D2;%;12.25237
Reference;;USA;Expenditure Share|Energy|Housing|D3;%;11.74204
Reference;;USA;Expenditure Share|Energy|Housing|D4;%;10.97518
Reference;;USA;Expenditure Share|Energy|Housing|D5;%;10.0238
Reference;;USA;Expenditure Share|Energy|Housing|D6;%;9.37801
Reference;;USA;Expenditure Share|Energy|Housing|D7;%;8.581571
Reference;;USA;Expenditure Share|Energy|Housing|D8;%;8.03271
Reference;;USA;Expenditure Share|Energy|Housing|D9;%;7.166154
Reference;;USA;Expenditure Share|Energy|Housing|D10;%;4.749737
Reference;;USA;Expenditure Share|Energy|Transportation|D1;%;9.439716
Reference;;USA;Expenditure Share|Energy|Transportation|D2;%;11.91868
Reference;;USA;Expenditure Share|Energy|Transportation|D3;%;11.53918
Reference;;USA;Expenditure Share|Energy|Transportation|D4;%;13.65193
Reference;;USA;Expenditure Share|Energy|Transportation|D5;%;13.82532
Reference;;USA;Expenditure Share|Energy|Transportation|D6;%;14.64414
Reference;;USA;Expenditure Share|Energy|Transportation|D7;%;14.67155
Reference;;USA;Expenditure Share|Energy|Transportation|D8;%;13.4695
Reference;;USA;Expenditure Share|Energy|Transportation|D9;%;14.10128
Reference;;USA;Expenditure Share|Energy|Transportation|D10;%;13.5415
Reference;;USA;Income Share|Labour|D1;%;24.214382
Reference;;USA;Income Share|Labour|D2;%;28.055467
Reference;;USA;Income Share|Labour|D3;%;47.664885
Reference;;USA;Income Share|Labour|D4;%;56.859833
Reference;;USA;Income Share|Labour|D5;%;69.221844
Reference;;USA;Income Share|Labour|D6;%;77.681709
Reference;;USA;Income Share|Labour|D7;%;83.819512
