year,iso3,var,element,dist,value
2010,BRA,expcat_input,food,D1,28.08740695
2010,BRA,expcat_input,food,D2,25.87388589
2010,BRA,expcat_input,food,D3,22.82059896
2010,BRA,expcat_input,food,D4,21.40185174
2010,BRA,expcat_input,food,D5,19.26201454
2010,BRA,expcat_input,food,D6,17.66069679
2010,BRA,expcat_input,food,D7,15.30402105
2010,BRA,expcat_input,food,D8,13.98893622
2010,BRA,expcat_input,food,D9,11.28887363
2010,BRA,expcat_input,food,D10,7.166066096
2010,BRA,expcat_input,energy_housing,D1,6.14307201
2010,BRA,expcat_input,energy_housing,D2,6.15808115
2010,BRA,expcat_input,energy_housing,D3,5.904614738
2010,BRA,expcat_input,energy_housing,D4,5.886450878
2010,BRA,expcat_input,energy_housing,D5,5.338878859
2010,BRA,expcat_input,energy_housing,D6,4.856540543
2010,BRA,expcat_input,energy_housing,D7,4.555117847
2010,BRA,expcat_input,energy_housing,D8,3.897514983
2010,BRA,expcat_input,energy_housing,D9,3.253788369
2010,BRA,expcat_input,energy_housing,D10,2.244407546
2010,BRA,expcat_input,energy_transportation,D1,1.502209119
2010,BRA,expcat_input,energy_transportation,D2,1.674135177
2010,BRA,expcat_input,energy_transportation,D3,2.09361866
2010,BRA,expcat_input,energy_transportation,D4,2.361319458
2010,BRA,expcat_input,energy_transportation,D5,2.688697012
2010,BRA,expcat_input,energy_transportation,D6,3.161950249
2010,BRA,expcat_input,energy_transportation,D7,3.889912256
2010,BRA,expcat_input,energy_transportation,D8,4.608951339
2010,BRA,expcat_input,energy_transportation,D9,4.731608165
2010,BRA,expcat_input,energy_transportation,D10,4.514895022
2010,BRA,incomecat,labour,D1,48.07341421
2010,BRA,incomecat,labour,D2,53.44938295
2010,BRA,incomecat,labour,D3,53.44450336
2010,BRA,incomecat,labour,D4,55.68301277
2010,BRA,incomecat,labour,D5,57.65312676
2010,BRA,incomecat,labour,D6,60.33340913
2010,BRA,incomecat,labour,D7,62.53770823
2010,BRA,incomecat,labour,D8,63.83835656
2010,BRA,incomecat,labour,D9,64.15655825
2010,BRA,incomecat,labour,D10,61.60240713
2010,BRA,incomecat,capital,D1,0.665197739
2010,BRA,incomecat,capital,D2,1.042463253
2010,BRA,incomecat,capital,D3,1.075835228
2010,BRA,incomecat,capital,D4,1.344537718
2010,BRA,incomecat,capital,D5,1.827576793
2010,BRA,incomecat,capital,D6,2.191399289
2010,BRA,incomecat,capital,D7,2.52814106
2010,BRA,incomecat,capital,D8,3.266002885
2010,BRA,incomecat,capital,D9,4.867592841
2010,BRA,incomecat,capital,D10,10.53551467
2010,BRA,incomecat,transfers,D1,18.14641265
2010,BRA,incomecat,transfers,D2,19.54352067
2010,BRA,incomecat,transfers,D3,20.99373345
2010,BRA,incomecat,transfers,D4,20.32907393
2010,BRA,incomecat,transfers,D5,18.83396197
2010,BRA,incomecat,transfers,D6,17.30893535
2010,BRA,incomecat,transfers,D7,15.60860811
2010,BRA,incomecat,transfers,D8,14.68995617
2010,BRA,incomecat,transfers,D9,14.7086532
2010,BRA,incomecat,transfers,D10,14.22263825
2010,BRA,incomecat,other,D1,33.11497541
2010,BRA,incomecat,other,D2,25.96463313
2010,BRA,incomecat,other,D3,24.48592797
2010,BRA,incomecat,other,D4,22.64337558
2010,BRA,incomecat,other,D5,21.68533447
2010,BRA,incomecat,other,D6,20.16625623
2010,BRA,incomecat,other,D7,19.32554259
2010,BRA,incomecat,other,D8,18.20568439
2010,BRA,incomecat,other,D9,16.26719571
2010,BRA,incomecat,other,D10,13.63943995
2010,BRA,savings_rate,,D1,-52.00567099
2010,BRA,savings_rate,,D2,-11.11811299
2010,BRA,savings_rate,,D3,-1.43489866
2010,BRA,savings_rate,,D4,7.727292657
2010,BRA,savings_rate,,D5,9.168397313
2010,BRA,savings_rate,,D6,12.8578129
2010,BRA,savings_rate,,D7,15.76876897
2010,BRA,savings_rate,,D8,18.60834147
2010,BRA,savings_rate,,D9,22.49636735
2010,BRA,savings_rate,,D10,39.91169657
2010,BRA,wealth_share,,D1,0.893282226
2010,BRA,wealth_share,,D2,1.5082641
2010,BRA,wealth_share,,D3,1.845343309
2010,BRA,wealth_share,,D4,2.445144691
2010,BRA,wealth_share,,D5,3.076318184
2010,BRA,wealth_share,,D6,4.228943024
2010,BRA,wealth_share,,D7,5.522266565
2010,BRA,wealth_share,,D8,10.66822526
2010,BRA,wealth_share,,D9,17.02451848
2010,BRA,wealth_share,,D10,52.78769416
2010,BRA,educat,Under 15,D1,0.046950804
2010,BRA,educat,Under 15,D2,0.00867819
2010,BRA,educat,Under 15,D3,0.015495277
2010,BRA,educat,Under 15,D4,0
2010,BRA,educat,Under 15,D5,0.00655542
2010,BRA,educat,Under 15,D6,0.006782595
2010,BRA,educat,Under 15,D7,0
2010,BRA,educat,Under 15,D8,0
2010,BRA,educat,Under 15,D9,0
2010,BRA,educat,Under 15,D10,0
2010,BRA,educat,No education,D1,22.80063078
2010,BRA,educat,No education,D2,20.96682404
2010,BRA,educat,No education,D3,19.98940587
2010,BRA,educat,No education,D4,17.92142484
2010,BRA,educat,No education,D5,13.15555379
2010,BRA,educat,No education,D6,10.717733
2010,BRA,educat,No education,D7,7.528912948
2010,BRA,educat,No education,D8,5.245728914
2010,BRA,educat,No education,D9,2.860427024
2010,BRA,educat,No education,D10,1.067662749
2010,BRA,educat,Primary Education,D1,40.38059986
2010,BRA,educat,Primary Education,D2,38.34578655
2010,BRA,educat,Primary Education,D3,35.44123605
2010,BRA,educat,Primary Education,D4,36.04340447
2010,BRA,educat,Primary Education,D5,35.32411069
2010,BRA,educat,Primary Education,D6,31.79946313
2010,BRA,educat,Primary Education,D7,28.82054122
2010,BRA,educat,Primary Education,D8,25.62716983
2010,BRA,educat,Primary Education,D9,16.74512034
2010,BRA,educat,Primary Education,D10,8.222306219
2010,BRA,educat,Secondary Education,D1,35.436252
2010,BRA,educat,Secondary Education,D2,39.5374922
2010,BRA,educat,Secondary Education,D3,42.88339969
2010,BRA,educat,Secondary Education,D4,43.97343669
2010,BRA,educat,Secondary Education,D5,48.89565846
2010,BRA,educat,Secondary Education,D6,54.12518919
2010,BRA,educat,Secondary Education,D7,57.0170013
2010,BRA,educat,Secondary Education,D8,58.28426377
2010,BRA,educat,Secondary Education,D9,54.3756345
2010,BRA,educat,Secondary Education,D10,34.21121617
2010,BRA,educat,Tertiary Education,D1,1.335566544
2010,BRA,educat,Tertiary Education,D2,1.141219025
2010,BRA,educat,Tertiary Education,D3,1.670463108
2010,BRA,educat,Tertiary Education,D4,2.061734006
2010,BRA,educat,Tertiary Education,D5,2.618121644
2010,BRA,educat,Tertiary Education,D6,3.350832086
2010,BRA,educat,Tertiary Education,D7,6.633544535
2010,BRA,educat,Tertiary Education,D8,10.84283749
2010,BRA,educat,Tertiary Education,D9,26.01881814
2010,BRA,educat,Tertiary Education,D10,56.49881486
2010,BRA,expenditure_decile,,D1,3.050842488
2010,BRA,expenditure_decile,,D2,3.914095203
2010,BRA,expenditure_decile,,D3,4.665537506
2010,BRA,expenditure_decile,,D4,5.240883052
2010,BRA,expenditure_decile,,D5,6.254719854
2010,BRA,expenditure_decile,,D6,7.475662967
2010,BRA,expenditure_decile,,D7,9.125588887
2010,BRA,expenditure_decile,,D8,11.83168613
2010,BRA,expenditure_decile,,D9,16.31422555
2010,BRA,expenditure_decile,,D10,32.12675837
2010,BRA,income_decile,,D1,1.530238538
2010,BRA,income_decile,,D2,2.685626831
2010,BRA,income_decile,,D3,3.5068196
2010,BRA,income_decile,,D4,4.330423244
2010,BRA,income_decile,,D5,5.250129613
2010,BRA,income_decile,,D6,6.540642282
2010,BRA,income_decile,,D7,8.260130175
2010,BRA,income_decile,,D8,11.08321815
2010,BRA,income_decile,,D9,16.04883616
2010,BRA,income_decile,,D10,40.7639354
2013,CHN,expcat_input,food,D1,50.28339
2013,CHN,expcat_input,food,D2,44.94008
2013,CHN,expcat_input,food,D3,41.31058
2013,CHN,expcat_input,food,D4,39.32164
2013,CHN,expcat_input,food,D5,37.37617
2013,CHN,expcat_input,food,D6,35.13456
2013,CHN,expcat_input,food,D7,33.03262
2013,CHN,expcat_input,food,D8,32.08793
2013,CHN,expcat_input,food,D9,28.66085
2013,CHN,expcat_input,food,D10,23.72319
2013,CHN,expcat_input,energy_housing,D1,4.290906
2013,CHN,expcat_input,energy_housing,D2,5.205235
2013,CHN,expcat_input,energy_housing,D3,5.421644
2013,CHN,expcat_input,energy_housing,D4,6.134601
2013,CHN,expcat_input,energy_housing,D5,6.299437
2013,CHN,expcat_input,energy_housing,D6,6.215644
2013,CHN,expcat_input,energy_housing,D7,6.167545
2013,CHN,expcat_input,energy_housing,D8,6.702759
2013,CHN,expcat_input,energy_housing,D9,6.697583
2013,CHN,expcat_input,energy_housing,D10,6.75989
2013,CHN,expcat_input,energy_transportation,D1,6.276292
2013,CHN,expcat_input,energy_transportation,D2,7.766181
2013,CHN,expcat_input,energy_transportation,D3,8.549875
2013,CHN,expcat_input,energy_transportation,D4,8.40479
2013,CHN,expcat_input,energy_transportation,D5,8.937824
2013,CHN,expcat_input,energy_transportation,D6,9.06156
2013,CHN,expcat_input,energy_transportation,D7,9.696552
2013,CHN,expcat_input,energy_transportation,D8,9.631663
2013,CHN,expcat_input,energy_transportation,D9,11.19733
2013,CHN,expcat_input,energy_transportation,D10,15.81787
2013,CHN,incomecat,labour,D1,19.62179
