MODEL,SCENARIO,ISO3,VARIABLE,UNIT,Definition,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,2105,2110,2115,2120,2125,2130,2135,2140,2145,2150
MANDATORY,,,Expenditure Share|Food|Urban|Dx,%,"Share of CP01 ""Food"" in total expenditures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Expenditure Share|Energy|Housing|Urban|Dx,%,"Share of  CP045 ""Electricity, gas and other fuels"" in total expenditures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Expenditure Share|Energy|Transportation|Urban|Dx,%,"Share of  CP07 ""Transport"" in total expenditures",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Expenditure Share|Other|Urban|Dx,%,All other goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Income Share|Labour|Urban|Dx,%,% of total HH income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Income Share|Capital|Urban|Dx,%,% of total HH income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Income Share|Transfers|Urban|Dx,%,% of total HH income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL,,,Income Share|Other|Urban|Dx,%,% of total HH income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Savings Rate|Urban|Dx,%,% of total HH income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPTIONAL,,,Education|Under 15|Urban|Dx,%,% of household heads in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Education|No Education|Urban|Dx,%,% of household heads in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Education|Primary Education|Urban|Dx,%,% of household heads in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Education|Secondary Education|Urban|Dx,%,% of household heads in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Education|Tertiary Education|Urban|Dx,%,% of household heads in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Expenditure Decile|Urban|Dx,,% of total expenditures in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANDATORY,,,Income Decile|Urban|Dx,,% of total Income in a given quantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
