MODEL,SCENARIO,REGION,VARIABLE,UNIT,2012
Reference,,IND,Expenditure Share|Food|Urban|D1,% of total HH expenditures,58.44131
Reference,,IND,Expenditure Share|Food|Urban|D2,% of total HH expenditures,56.31482
Reference,,IND,Expenditure Share|Food|Urban|D3,% of total HH expenditures,54.17097
Reference,,IND,Expenditure Share|Food|Urban|D4,% of total HH expenditures,51.73946
Reference,,IND,Expenditure Share|Food|Urban|D5,% of total HH expenditures,49.80307
Reference,,IND,Expenditure Share|Food|Urban|D6,% of total HH expenditures,47.56861
Reference,,IND,Expenditure Share|Food|Urban|D7,% of total HH expenditures,45.08776
Reference,,IND,Expenditure Share|Food|Urban|D8,% of total HH expenditures,41.85718
Reference,,IND,Expenditure Share|Food|Urban|D9,% of total HH expenditures,37.55787
Reference,,IND,Expenditure Share|Food|Urban|D10,% of total HH expenditures,27.97489
Reference,,IND,Expenditure Share|Food|non-Meat|Urban|D1,% of total HH expenditures,56.24807
Reference,,IND,Expenditure Share|Food|non-Meat|Urban|D2,% of total HH expenditures,53.80972
Reference,,IND,Expenditure Share|Food|non-Meat|Urban|D3,% of total HH expenditures,51.77172
Reference,,IND,Expenditure Share|Food|non-Meat|Urban|D4,% of total HH expenditures,49.47801
Reference,,IND,Expenditure Share|Food|non-Meat|Urban|D5,% of total HH expenditures,47.71675
Reference,,IND,Expenditure Share|Food|non-Meat|Urban|D6,% of total HH expenditures,45.7108
Reference,,IND,Expenditure Share|Food|non-Meat|Urban|D7,% of total HH expenditures,43.18304
Reference,,IND,Expenditure Share|Food|non-Meat|Urban|D8,% of total HH expenditures,40.131
Reference,,IND,Expenditure Share|Food|non-Meat|Urban|D9,% of total HH expenditures,36.03848
Reference,,IND,Expenditure Share|Food|non-Meat|Urban|D10,% of total HH expenditures,27.03133
Reference,,IND,Expenditure Share|Food|Meat|Urban|D1,% of total HH expenditures,2.19325
Reference,,IND,Expenditure Share|Food|Meat|Urban|D2,% of total HH expenditures,2.505093
Reference,,IND,Expenditure Share|Food|Meat|Urban|D3,% of total HH expenditures,2.399248
Reference,,IND,Expenditure Share|Food|Meat|Urban|D4,% of total HH expenditures,2.261456
Reference,,IND,Expenditure Share|Food|Meat|Urban|D5,% of total HH expenditures,2.086319
Reference,,IND,Expenditure Share|Food|Meat|Urban|D6,% of total HH expenditures,1.857813
Reference,,IND,Expenditure Share|Food|Meat|Urban|D7,% of total HH expenditures,1.904721
Reference,,IND,Expenditure Share|Food|Meat|Urban|D8,% of total HH expenditures,1.726175
Reference,,IND,Expenditure Share|Food|Meat|Urban|D9,% of total HH expenditures,1.519394
