MODEL,SCENARIO,REGION,VARIABLE,UNIT,2018
Reference,,MEX,Expenditure Share|Food|Urban|D1,% of total HH expenditures,46.00196
Reference,,MEX,Expenditure Share|Food|Urban|D2,% of total HH expenditures,45.15044
Reference,,MEX,Expenditure Share|Food|Urban|D3,% of total HH expenditures,43.291
Reference,,MEX,Expenditure Share|Food|Urban|D4,% of total HH expenditures,41.57698
Reference,,MEX,Expenditure Share|Food|Urban|D5,% of total HH expenditures,40.33784
Reference,,MEX,Expenditure Share|Food|Urban|D6,% of total HH expenditures,38.70578
Reference,,MEX,Expenditure Share|Food|Urban|D7,% of total HH expenditures,36.74414
Reference,,MEX,Expenditure Share|Food|Urban|D8,% of total HH expenditures,34.53693
Reference,,MEX,Expenditure Share|Food|Urban|D9,% of total HH expenditures,30.87654
Reference,,MEX,Expenditure Share|Food|Urban|D10,% of total HH expenditures,24.28185
Reference,,MEX,Expenditure Share|Food|non-Meat|Urban|D1,% of total HH expenditures,37.56156
Reference,,MEX,Expenditure Share|Food|non-Meat|Urban|D2,% of total HH expenditures,36.1082
Reference,,MEX,Expenditure Share|Food|non-Meat|Urban|D3,% of total HH expenditures,34.45845
Reference,,MEX,Expenditure Share|Food|non-Meat|Urban|D4,% of total HH expenditures,33.28142
Reference,,MEX,Expenditure Share|Food|non-Meat|Urban|D5,% of total HH expenditures,32.40105
Reference,,MEX,Expenditure Share|Food|non-Meat|Urban|D6,% of total HH expenditures,31.44932
Reference,,MEX,Expenditure Share|Food|non-Meat|Urban|D7,% of total HH expenditures,30.28901
Reference,,MEX,Expenditure Share|Food|non-Meat|Urban|D8,% of total HH expenditures,28.75163
Reference,,MEX,Expenditure Share|Food|non-Meat|Urban|D9,% of total HH expenditures,26.27989
Reference,,MEX,Expenditure Share|Food|non-Meat|Urban|D10,% of total HH expenditures,21.71055
Reference,,MEX,Expenditure Share|Food|Meat|Urban|D1,% of total HH expenditures,8.440404
Reference,,MEX,Expenditure Share|Food|Meat|Urban|D2,% of total HH expenditures,9.042236
Reference,,MEX,Expenditure Share|Food|Meat|Urban|D3,% of total HH expenditures,8.832547
Reference,,MEX,Expenditure Share|Food|Meat|Urban|D4,% of total HH expenditures,8.295565
Reference,,MEX,Expenditure Share|Food|Meat|Urban|D5,% of total HH expenditures,7.936787
Reference,,MEX,Expenditure Share|Food|Meat|Urban|D6,% of total HH expenditures,7.256454
Reference,,MEX,Expenditure Share|Food|Meat|Urban|D7,% of total HH expenditures,6.455127
Reference,,MEX,Expenditure Share|Food|Meat|Urban|D8,% of total HH expenditures,5.785302
Reference,,MEX,Expenditure Share|Food|Meat|Urban|D9,% of total HH expenditures,4.596647
Reference,,MEX,Expenditure Share|Food|Meat|Urban|D10,% of total HH expenditures,2.571301
Reference,,MEX,Expenditure Share|Energy|Housing|Urban|D1,% of total HH expenditures,5.559411
Reference,,MEX,Expenditure Share|Energy|Housing|Urban|D2,% of total HH expenditures,5.78789
Reference,,MEX,Expenditure Share|Energy|Housing|Urban|D3,% of total HH expenditures,5.429932
Reference,,MEX,Expenditure Share|Energy|Housing|Urban|D4,% of total HH expenditures,5.323012
Reference,,MEX,Expenditure Share|Energy|Housing|Urban|D5,% of total HH expenditures,5.218234
Reference,,MEX,Expenditure Share|Energy|Housing|Urban|D6,% of total HH expenditures,4.931422
Reference,,MEX,Expenditure Share|Energy|Housing|Urban|D7,% of total HH expenditures,4.702026
Reference,,MEX,Expenditure Share|Energy|Housing|Urban|D8,% of total HH expenditures,4.3902
Reference,,MEX,Expenditure Share|Energy|Housing|Urban|D9,% of total HH expenditures,3.785311
Reference,,MEX,Expenditure Share|Energy|Housing|Urban|D10,% of total HH expenditures,2.793864
Reference,,MEX,Expenditure Share|Energy|Transportation|Urban|D1,% of total HH expenditures,2.056013
Reference,,MEX,Expenditure Share|Energy|Transportation|Urban|D2,% of total HH expenditures,2.712451
Reference,,MEX,Expenditure Share|Energy|Transportation|Urban|D3,% of total HH expenditures,3.678657
Reference,,MEX,Expenditure Share|Energy|Transportation|Urban|D4,% of total HH expenditures,4.155804
Reference,,MEX,Expenditure Share|Energy|Transportation|Urban|D5,% of total HH expenditures,4.871002
Reference,,MEX,Expenditure Share|Energy|Transportation|Urban|D6,% of total HH expenditures,5.716314
Reference,,MEX,Expenditure Share|Energy|Transportation|Urban|D7,% of total HH expenditures,6.402353
Reference,,MEX,Expenditure Share|Energy|Transportation|Urban|D8,% of total HH expenditures,7.631167
Reference,,MEX,Expenditure Share|Energy|Transportation|Urban|D9,% of total HH expenditures,8.831223
Reference,,MEX,Expenditure Share|Energy|Transportation|Urban|D10,% of total HH expenditures,8.231855
Reference,,MEX,Expenditure Share|Other|Urban|D1,% of total HH expenditures,46.38262
Reference,,MEX,Expenditure Share|Other|Urban|D2,% of total HH expenditures,46.34922
Reference,,MEX,Expenditure Share|Other|Urban|D3,% of total HH expenditures,47.60041
Reference,,MEX,Expenditure Share|Other|Urban|D4,% of total HH expenditures,48.9442
Reference,,MEX,Expenditure Share|Other|Urban|D5,% of total HH expenditures,49.57293
Reference,,MEX,Expenditure Share|Other|Urban|D6,% of total HH expenditures,50.64649
Reference,,MEX,Expenditure Share|Other|Urban|D7,% of total HH expenditures,52.15148
Reference,,MEX,Expenditure Share|Other|Urban|D8,% of total HH expenditures,53.4417
Reference,,MEX,Expenditure Share|Other|Urban|D9,% of total HH expenditures,56.50693
Reference,,MEX,Expenditure Share|Other|Urban|D10,% of total HH expenditures,64.69243
Reference,,MEX,Income Share|Labour|Urban|D1,% of total HH income,60.098771
Reference,,MEX,Income Share|Labour|Urban|D2,% of total HH income,71.59591381
Reference,,MEX,Income Share|Labour|Urban|D3,% of total HH income,74.3846574
Reference,,MEX,Income Share|Labour|Urban|D4,% of total HH income,76.24393823
Reference,,MEX,Income Share|Labour|Urban|D5,% of total HH income,77.18743332
Reference,,MEX,Income Share|Labour|Urban|D6,% of total HH income,78.75074479
Reference,,MEX,Income Share|Labour|Urban|D7,% of total HH income,78.15589875
Reference,,MEX,Income Share|Labour|Urban|D8,% of total HH income,79.41299518
Reference,,MEX,Income Share|Labour|Urban|D9,% of total HH income,77.87538633
Reference,,MEX,Income Share|Labour|Urban|D10,% of total HH income,76.07538929
Reference,,MEX,Income Share|Capital|Urban|D1,% of total HH income,0.480543088
Reference,,MEX,Income Share|Capital|Urban|D2,% of total HH income,0.615408577
Reference,,MEX,Income Share|Capital|Urban|D3,% of total HH income,0.594276445
Reference,,MEX,Income Share|Capital|Urban|D4,% of total HH income,0.746323405
Reference,,MEX,Income Share|Capital|Urban|D5,% of total HH income,0.798889026
Reference,,MEX,Income Share|Capital|Urban|D6,% of total HH income,0.675136597
Reference,,MEX,Income Share|Capital|Urban|D7,% of total HH income,0.821591069
Reference,,MEX,Income Share|Capital|Urban|D8,% of total HH income,1.132463158
Reference,,MEX,Income Share|Capital|Urban|D9,% of total HH income,1.162231819
Reference,,MEX,Income Share|Capital|Urban|D10,% of total HH income,2.690892809
Reference,,MEX,Income Share|Transfers|Urban|D1,% of total HH income,39.42068486
Reference,,MEX,Income Share|Transfers|Urban|D2,% of total HH income,27.78867923
